E V T
-6.799840E+02 -1.673831E+03 +9.938466E+02
-6.799817E+02 -1.685126E+03 +1.005144E+03
-6.799810E+02 -1.690390E+03 +1.010409E+03
-6.799832E+02 -1.689873E+03 +1.009890E+03
-6.799871E+02 -1.686232E+03 +1.006245E+03
-6.799981E+02 -1.678250E+03 +9.982520E+02
-6.799937E+02 -1.667861E+03 +9.878668E+02
-6.799993E+02 -1.662880E+03 +9.828807E+02
-6.799950E+02 -1.665376E+03 +9.853808E+02
-6.799909E+02 -1.671781E+03 +9.917898E+02
-6.799950E+02 -1.679565E+03 +9.995699E+02
-6.799970E+02 -1.687038E+03 +1.007041E+03
-6.799965E+02 -1.693414E+03 +1.013417E+03
-6.799976E+02 -1.696904E+03 +1.016906E+03
-6.799961E+02 -1.694145E+03 +1.014149E+03
-6.800099E+02 -1.684088E+03 +1.004078E+03
-6.800039E+02 -1.671563E+03 +9.915590E+02
-6.800041E+02 -1.665806E+03 +9.858015E+02
-6.800177E+02 -1.670782E+03 +9.907643E+02
-6.800229E+02 -1.682968E+03 +1.002945E+03
-6.800180E+02 -1.696892E+03 +1.016874E+03
-6.800260E+02 -1.709338E+03 +1.029312E+03
-6.800249E+02 -1.719147E+03 +1.039123E+03
-6.800377E+02 -1.724887E+03 +1.044849E+03
-6.800319E+02 -1.726188E+03 +1.046156E+03
-6.800380E+02 -1.723832E+03 +1.043794E+03
-6.800375E+02 -1.718910E+03 +1.038872E+03
-6.800244E+02 -1.714953E+03 +1.034929E+03
