rx ry rz vx vy vz ax ay az
+4.653923E+00 +4.108873E+00 +3.984013E+00 +1.210547E+00 +2.525251E-01 -9.917905E-01 -3.021040E+00 +4.617560E+00 -1.267997E+00
-1.084348E+01 +4.949199E+00 +1.494507E+00 +2.314815E+00 -1.692657E+00 +8.470713E-01 -4.408455E+01 -2.003796E+01 -8.786386E+00
-1.669245E+00 -6.205518E+00 +2.874235E+00 +1.067257E+00 +1.289094E+00 -3.593248E+00 -3.252806E+01 -7.172648E+00 +2.215891E+01
+8.849301E+00 -9.524500E-01 +1.090807E+01 +1.322529E+00 -8.103076E-01 +1.463617E+00 +1.851501E+01 +6.970299E+00 +5.315778E+00
+3.065286E+00 -1.004640E+00 -3.661564E-01 -7.974091E-01 +4.227731E-01 +6.878430E-01 +2.721033E+00 +2.158081E+00 +9.832482E-01
+1.366345E+01 +8.439533E+00 +4.384701E+00 +1.241903E-01 +2.708767E+00 -1.338002E+00 -6.203154E+00 +5.289072E+00 -7.441455E+00
+5.964030E+00 +3.173547E+00 +6.859217E+00 -1.375644E+00 -1.957053E+00 +1.759140E+00 +1.702026E+00 +5.570843E-01 -2.812741E-01
-7.514239E+00 +1.453749E+01 +3.968560E+00 -1.939265E+00 +7.142829E-01 +6.345178E-01 +1.904619E-01 -9.696210E+00 -1.678728E-01
-4.096831E-01 -8.401742E+00 -2.982453E+00 -4.438380E-01 +1.165422E+00 -3.074398E-04 +1.960000E-01 +2.594126E-01 +7.965583E-02
+1.460607E+00 -7.817690E-01 +7.501112E+00 -1.931952E-01 +1.420222E+00 -2.420684E+00 +6.166178E-03 +2.211761E+00 -2.679108E+00
-1.173122E+01 +2.627657E+00 +6.453454E+00 -8.998094E-01 -4.886161E-01 -1.138944E+00 -2.186568E+00 +7.110898E+00 +9.241930E+00
-7.288830E-01 +1.115390E+01 +2.842010E+00 -9.750485E-02 -1.370088E-01 -7.927814E-01 -1.060993E-01 -9.828484E+00 +8.003731E+00
-7.686594E+00 +5.132642E+00 +6.776855E+00 -6.022363E-01 -2.961970E-01 +1.022860E+00 +3.799416E+00 -3.143157E-01 +8.879699E-01
+5.222458E+00 +4.888423E+00 -6.935634E-01 +1.782830E+00 +7.311765E-01 -8.544463E-01 -2.084275E+01 -1.431747E+01 -8.877335E-01
+1.200652E+01 +1.718645E-01 +4.854282E+00 +1.496164E+00 -1.066776E+00 -3.951252E-02 -1.110217E+01 -5.700729E+00 -3.483461E+01
+5.739258E+00 -5.075003E+00 +6.445251E+00 -3.482614E-01 -2.883462E-01 -6.901171E-01 +2.331989E+00 +1.658365E+00 +7.609028E-02
+4.558652E+00 +7.130790E+00 +1.693939E-01 -7.294410E-01 +2.710708E-01 -9.059025E-01 +1.987533E+01 -1.084393E+01 +2.403944E+01
-2.658478E+00 +1.653247E+00 +9.508455E+00 +9.515462E-01 -9.132903E-01 +4.709146E-01 +1.609717E+00 -7.981338E-01 +2.179373E-01
-5.847439E-01 +4.562038E+00 +3.287402E+00 -5.617386E-02 +5.581244E-01 +9.767861E-01 -2.653090E+01 -4.633677E-01 -4.280648E+00
+4.161848E+00 +9.446006E+00 +1.983926E+01 +3.294825E+00 +6.427783E-01 -9.504806E-01 -6.226609E+00 -4.410379E+00 +2.434946E+00
+1.640402E+00 +6.383286E+00 -2.799122E+00 +4.366763E-01 -1.233499E+00 +3.088605E-01 +2.484224E+00 -9.462948E-01 +1.666787E+00
+1.337984E+01 +1.024243E+01 -3.975463E+00 +2.107779E+00 -6.666211E-01 +2.285321E-01 -9.610556E+00 -1.418554E+01 +4.966040E+00
-3.415517E+00 +8.697822E+00 -3.522628E+00 -3.291465E+00 +9.442088E-01 -3.899269E-01 -4.135872E+00 +3.498321E+00 +7.673449E+00
-6.192898E-01 +9.616244E+00 -1.442313E+00 +1.721102E+00 +7.547691E-01 +1.308210E+00 -5.970276E+00 -4.920104E-01 +1.773816E+00
+4.197311E+00 +8.813241E+00 +8.107608E+00 +1.570563E-01 +4.838646E-01 -8.483028E-01 +1.101965E+00 +2.475928E+01 +1.578827E+00
-1.242602E+00 +3.927462E+00 +8.965266E+00 -7.116045E-01 +2.321072E-02 -1.828820E-01 -1.288525E+00 -1.923423E-01 -2.823324E+00
+3.686274E+00 +6.352734E+00 +6.010591E+00 -2.114554E+00 -1.530756E+00 -3.791045E-01 +2.462776E+01 +3.993646E+00 -3.926765E+01
+2.373619E+00 +2.590459E+00 -4.910839E+00 -9.009990E-01 +5.133963E-01 +1.672099E+00 -3.765320E+00 -6.461337E+00 +3.789029E+00
+6.244033E+00 +1.573468E+00 -2.236246E+00 -5.532783E-01 +1.895475E-01 -8.701360E-01 -2.449991E+00 +6.133391E+00 +3.535199E+00
+1.470879E+01 +6.831813E+00 -4.179966E+00 -1.056700E+00 -7.415287E-01 +2.298410E-01 +5.940013E+00 -1.596024E+00 -1.363448E+01
+6.828914E+00 -2.250085E-01 +3.052410E+00 -9.038089E-01 +1.062547E-01 +1.353183E+00 +2.201559E+01 -6.177122E+00 +6.986588E+00
-2.687166E+00 +5.957606E+00 +5.181084E+00 -1.680544E+00 -9.888138E-01 -1.033388E-01 +9.142521E+00 +7.523328E+00 +2.954671E+00
+3.451613E+00 +6.862056E+00 +1.039157E+01 -1.607155E+00 +1.594661E+00 +1.163553E+00 +3.601177E+00 -2.899107E+00 -5.443788E+00
-2.708730E+00 +9.503400E+00 +5.631229E+00 -5.937967E-01 +4.655524E-01 +2.049562E+00 +5.859786E+00 +1.430273E+01 +1.590890E+00
+6.606812E+00 +1.165557E+01 +1.204612E+01 -1.463183E+00 +1.039623E+00 -1.768617E-01 -1.099735E+01 -1.914203E+01 -4.388604E+00
-3.361762E+00 +1.426820E+00 +1.063264E+01 -1.636717E-01 +1.593840E+00 +3.382325E-02 +2.879285E+01 +2.912184E+01 +8.579427E+00
+6.316198E+00 +1.292146E+01 +9.784483E+00 -1.614444E+00 -1.845466E+00 +1.954701E-01 -1.549049E+00 +3.452911E+00 -4.804679E+00
+7.811543E+00 +6.765496E+00 +1.273553E+01 +7.322330E-01 +1.377254E+00 +1.311660E-01 -1.103926E+01 -8.873619E+00 +3.772463E+00
